,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
15,,23/10/2022,Pakistan,Melbourne Cricket Ground,-,4,,3/32,22,18.55,,2,,,,23 years 260 days,"Arshdeep Singh
            - T20 Internationals - Progressive Averages and Aggregates Summary"
16,,27/10/2022,Netherlands,Sydney Cricket Ground,-,4,,2/37,24,18.54,,2,,,,23 years 264 days,"Arshdeep Singh
            - T20 Internationals - Progressive Averages and Aggregates Summary"
17,4,30/10/2022,South Africa,Perth Stadium,2*,6,,2/25,26,18.08,,2,,,,23 years 267 days,"Arshdeep Singh
            - T20 Internationals - Progressive Averages and Aggregates Summary"
18,,02/11/2022,Bangladesh,Adelaide Oval,-,6,,2/38,28,18.14,1,3,,,,23 years 270 days,"Arshdeep Singh
            - T20 Internationals - Progressive Averages and Aggregates Summary"
19,,06/11/2022,Zimbabwe,Melbourne Cricket Ground,-,6,,1/9,29,17.83,,3,,,,23 years 274 days,"Arshdeep Singh
            - T20 Internationals - Progressive Averages and Aggregates Summary"
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
0,Innings,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
1,Innings,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
2,,12/06/2010,Zimbabwe,Harare Sports Club,-,0,,1/22,1,22.00,,0,,,,23 years 268 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
3,,13/06/2010,Zimbabwe,Harare Sports Club,-,0,,1/48,2,35.00,,0,,,,23 years 269 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
4,,09/01/2011,South Africa,Moses Mabhida Stadium,-,0,,1/33,3,34.33,,0,,,,24 years 114 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
5,,04/06/2011,West Indies,Queen's Park Oval,-,0,,1/30,4,33.25,,0,,,,24 years 260 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
6,1,31/08/2011,England,Old Trafford,4,4,4.00,0/37,4,42.50,,0,,,,24 years 348 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
7,2,29/10/2011,England,Eden Gardens,17*,21,21.00,0/20,4,47.50,,0,,,,25 years 42 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
8,3,01/02/2012,Australia,ANZ Stadium,15*,36,36.00,1/34,5,44.80,,0,,,,25 years 137 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
9,,03/02/2012,Australia,Melbourne Cricket Ground,-,36,36.00,0/23,5,49.40,,0,,,,25 years 139 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
10,,30/03/2012,South Africa,Wanderers Stadium,-,36,36.00,1/33,6,46.67,,0,,,,25 years 195 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
11,,07/08/2012,Sri Lanka,Pallekele International Cricket Stadium,-,36,36.00,1/22,7,43.14,1,1,,,,25 years 325 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
12,,11/09/2012,New Zealand,MA Chidambaram Stadium,-,36,36.00,0/34,7,48.00,1,2,,,,25 years 360 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
13,,19/09/2012,Afghanistan,R Premadasa Stadium,-,36,36.00,2/20,9,39.56,1,3,,,,26 years 2 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
14,4,28/09/2012,Australia,R Premadasa Stadium,16*,52,52.00,0/32,9,43.11,,3,,,,26 years 11 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
15,,30/09/2012,Pakistan,R Premadasa Stadium,-,52,52.00,2/16,11,36.73,,3,,,,26 years 13 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
16,,02/10/2012,South Africa,R Premadasa Stadium,-,52,52.00,1/27,12,35.92,,3,,,,26 years 15 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
17,,20/12/2012,England,Maharashtra Cricket Association Stadium,-,52,52.00,1/33,13,35.69,,3,,,,26 years 94 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
18,5,22/12/2012,England,Wankhede Stadium,1,53,26.50,0/38,13,38.62,,3,,,,26 years 96 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
19,,28/12/2012,Pakistan,Narendra Modi Stadium,-,53,26.50,1/28,14,37.86,,3,,,,26 years 102 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
20,,10/10/2013,Australia,Saurashtra Cricket Association Stadium,-,53,26.50,0/41,14,40.79,,3,,,,27 years 23 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
21,,21/03/2014,Pakistan,Shere Bangla National Stadium,-,53,26.50,0/23,14,42.43,,3,,,,27 years 185 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
22,,23/03/2014,West Indies,Shere Bangla National Stadium,-,53,26.50,1/24,15,41.20,1,4,,,,27 years 187 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
23,,28/03/2014,Bangladesh,Shere Bangla National Stadium,-,53,26.50,2/15,17,37.24,,4,,,,27 years 192 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
24,6,30/03/2014,Australia,Shere Bangla National Stadium,2*,55,27.50,4/11,21,30.67,,4,,,,27 years 194 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
25,,04/04/2014,South Africa,Shere Bangla National Stadium,-,55,27.50,3/22,24,27.75,,4,,,,27 years 199 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
26,,06/04/2014,Sri Lanka,Shere Bangla National Stadium,-,55,27.50,1/29,25,27.80,1,5,,,,27 years 201 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
27,,07/09/2014,England,Edgbaston,-,55,27.50,0/37,25,29.28,,5,,,,27 years 355 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
28,,02/10/2015,South Africa,Himachal Pradesh Cricket Association Stadium,-,55,27.50,1/26,26,29.15,,5,,,,29 years 15 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
29,7,05/10/2015,South Africa,Barabati Stadium,11,66,22.00,3/24,29,26.97,,5,,,,29 years 18 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
30,,26/01/2016,Australia,Adelaide Oval,-,66,22.00,2/28,31,26.13,,5,,,,29 years 131 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
31,,29/01/2016,Australia,Melbourne Cricket Ground,-,66,22.00,1/27,32,26.16,,5,,,,29 years 134 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
