,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name 
21,20,13/10/2013,Australia,Maharashtra Cricket Association Stadium,7,783,41.21,,0,,,7,,,,27 years 312 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
22,21,16/10/2013,Australia,Sawai Mansingh Stadium,95,878,43.90,,0,,,7,,,,27 years 315 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
23,22,19/10/2013,Australia,Punjab Cricket Association IS Bindra Stadium,8,886,42.19,,0,,,7,,,,27 years 318 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
24,23,23/10/2013,Australia,JSCA International Stadium Complex,14*,900,42.86,,0,,,7,,,,27 years 322 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
25,24,30/10/2013,Australia,Vidarbha Cricket Association Stadium,100,1000,45.45,,0,,1,8,,,,27 years 329 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
26,25,02/11/2013,Australia,M Chinnaswamy Stadium,60,1060,46.09,,0,,1,9,,,,27 years 332 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
27,26,21/11/2013,West Indies,Nehru Stadium (Kochi),5,1065,44.38,,0,,1,10,,,,27 years 351 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
28,27,24/11/2013,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,35,1100,44.00,,0,,1,11,,,,27 years 354 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
29,28,27/11/2013,West Indies,Green Park,119,1219,46.88,,0,,1,12,,,,27 years 357 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
30,29,05/12/2013,South Africa,Wanderers Stadium,12,1231,45.59,,0,,,12,,,,28 years 0 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
31,30,08/12/2013,South Africa,Kingsmead,0,1231,43.96,,0,,,12,,,,28 years 3 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
32,,11/12/2013,South Africa,SuperSport Park,-,1231,43.96,,0,,,12,,,,28 years 6 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
33,31,19/01/2014,New Zealand,McLean Park,32,1263,43.55,,0,,,12,,,,28 years 45 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
34,32,22/01/2014,New Zealand,Seddon Park,12,1275,42.50,,0,,1,13,,,,28 years 48 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
35,33,25/01/2014,New Zealand,Eden Park,28,1303,42.03,,0,,,13,,,,28 years 51 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
36,34,31/01/2014,New Zealand,Westpac Stadium,9,1312,41.00,,0,,1,14,,,,28 years 57 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
37,35,26/02/2014,Bangladesh,Khan Shaheb Osman Ali Stadium,28,1340,40.61,,0,,,14,,,,28 years 83 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
38,36,28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium,94,1434,42.18,,0,,,14,,,,28 years 85 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
39,37,01/03/2014,Pakistan,Shere Bangla National Stadium,10,1444,41.26,,0,,,14,,,,28 years 86 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
40,38,05/03/2014,Afghanistan,Shere Bangla National Stadium,60,1504,41.78,,0,,,14,,,,28 years 90 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
41,39,27/08/2014,England,Sophia Gardens,11,1515,40.95,,0,,,14,,,,28 years 265 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
42,40,30/08/2014,England,Trent Bridge,16,1531,40.29,,0,,,14,,,,28 years 268 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
43,41,02/09/2014,England,Edgbaston,97*,1628,42.84,,0,,,14,,,,28 years 271 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
44,42,05/09/2014,England,Headingley,31,1659,42.54,,0,,,14,,,,28 years 274 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
45,43,08/10/2014,West Indies,Nehru Stadium (Kochi),68,1727,43.18,,0,,2,16,,,,28 years 307 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
46,44,11/10/2014,West Indies,Arun Jaitley Stadium,1,1728,42.15,,0,,1,17,,,,28 years 310 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
47,45,17/10/2014,West Indies,Himachal Pradesh Cricket Association Stadium,35,1763,41.98,,0,,1,18,,,,28 years 316 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
48,46,02/11/2014,Sri Lanka,Barabati Stadium,113,1876,43.63,,0,,1,19,,,,28 years 332 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
49,47,06/11/2014,Sri Lanka,Narendra Modi Stadium,79,1955,44.43,,0,,1,20,,,,28 years 336 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
50,48,09/11/2014,Sri Lanka,Rajiv Gandhi International Stadium,91,2046,45.47,,0,,1,21,,,,28 years 339 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
51,49,18/01/2015,Australia,Melbourne Cricket Ground,2,2048,44.52,,0,,,21,,,,29 years 44 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
52,50,20/01/2015,England,Brisbane Cricket Ground,1,2049,43.60,,0,,,21,,,,29 years 46 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
53,51,26/01/2015,Australia,Sydney Cricket Ground,8,2057,42.85,,0,,,21,,,,29 years 52 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
54,52,30/01/2015,England,WACA Ground,38,2095,42.76,,0,,1,22,,,,29 years 56 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
55,53,15/02/2015,Pakistan,Adelaide Oval,73,2168,43.36,,0,,,22,,,,29 years 72 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
56,54,22/02/2015,South Africa,Melbourne Cricket Ground,137,2305,45.20,,0,,2,24,,,,29 years 79 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
57,55,28/02/2015,United Arab Emirates,WACA Ground,14,2319,44.60,,0,,1,25,,,,29 years 85 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
58,56,06/03/2015,West Indies,WACA Ground,9,2328,43.92,,0,,,25,,,,29 years 91 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
59,57,10/03/2015,Ireland,Seddon Park,100,2428,44.96,,0,,,25,,,,29 years 95 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
60,58,14/03/2015,Zimbabwe,Eden Park,4,2432,44.22,,0,,2,27,,,,29 years 99 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
61,59,19/03/2015,Bangladesh,Melbourne Cricket Ground,30,2462,43.96,,0,,1,28,,,,29 years 104 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
62,60,26/03/2015,Australia,Sydney Cricket Ground,45,2507,43.98,,0,,1,29,,,,29 years 111 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
63,61,18/06/2015,Bangladesh,Shere Bangla National Stadium,30,2537,43.74,,0,,,29,,,,29 years 195 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
64,62,21/06/2015,Bangladesh,Shere Bangla National Stadium,53,2590,43.90,,0,,1,30,,,,29 years 198 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
65,63,24/06/2015,Bangladesh,Shere Bangla National Stadium,75,2665,44.42,,0,,,30,,,,29 years 201 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
66,64,11/10/2015,South Africa,Green Park,23,2688,44.07,,0,,,30,,,,29 years 310 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
67,65,14/10/2015,South Africa,Holkar Cricket Stadium,23,2711,43.73,,0,,,30,,,,29 years 313 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
68,66,18/10/2015,South Africa,Saurashtra Cricket Association Stadium,13,2724,43.24,,0,,,30,,,,29 years 317 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
69,67,22/10/2015,South Africa,MA Chidambaram Stadium,7,2731,42.67,,0,,1,31,,,,29 years 321 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
70,68,25/10/2015,South Africa,Wankhede Stadium,60,2791,42.94,,0,,,31,,,,29 years 324 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
71,69,12/01/2016,Australia,WACA Ground,9,2800,42.42,,0,,1,32,,,,30 years 38 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
72,70,15/01/2016,Australia,Brisbane Cricket Ground,6,2806,41.88,,0,,,32,,,,30 years 41 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
73,71,17/01/2016,Australia,Melbourne Cricket Ground,68,2874,42.26,,0,,2,34,,,,30 years 43 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
74,72,20/01/2016,Australia,Manuka Oval,126,3000,43.48,,0,,,34,,,,30 years 46 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
75,73,23/01/2016,Australia,Sydney Cricket Ground,78,3078,43.97,,0,,,34,,,,30 years 49 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
76,74,15/01/2017,England,Maharashtra Cricket Association Stadium,1,3079,43.37,,0,,1,35,,,,31 years 41 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
77,75,19/01/2017,England,Barabati Stadium,11,3090,42.92,,0,,,35,,,,31 years 45 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
78,76,04/06/2017,Pakistan,Edgbaston,68,3158,43.26,,0,,1,36,,,,31 years 181 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
79,77,08/06/2017,Sri Lanka,Kennington Oval,125,3283,44.36,,0,,,36,,,,31 years 185 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
80,78,11/06/2017,South Africa,Kennington Oval,78,3361,44.81,,0,,,36,,,,31 years 188 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
81,79,15/06/2017,Bangladesh,Edgbaston,46,3407,44.83,,0,,,36,,,,31 years 192 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
82,80,18/06/2017,Pakistan,Kennington Oval,21,3428,44.52,,0,,,36,,,,31 years 195 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
83,81,23/06/2017,West Indies,Queen's Park Oval,87,3515,45.06,,0,,,36,,,,31 years 200 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
84,82,25/06/2017,West Indies,Queen's Park Oval,63,3578,45.29,,0,,,36,,,,31 years 202 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
85,83,30/06/2017,West Indies,Sir Vivian Richards Stadium,2,3580,44.75,,0,,,36,,,,31 years 207 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
86,84,02/07/2017,West Indies,Sir Vivian Richards Stadium,5,3585,44.26,,0,,,36,,,,31 years 209 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
87,85,06/07/2017,West Indies,Sabina Park,4,3589,43.77,,0,,2,38,,,,31 years 213 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
88,86,20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium,132*,3721,45.38,,0,,1,39,,,,31 years 258 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
89,87,24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,49,3770,45.42,,0,,1,40,,,,31 years 262 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
90,88,27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,5,3775,44.94,,0,,,40,,,,31 years 265 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
91,89,31/08/2017,Sri Lanka,R Premadasa Stadium,4,3779,44.46,,0,,1,41,,,,31 years 269 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
92,90,22/10/2017,New Zealand,Wankhede Stadium,9,3788,44.05,,0,,,41,,,,31 years 321 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
93,91,25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,68,3856,44.32,,0,,,41,,,,31 years 324 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
94,92,29/10/2017,New Zealand,Green Park,14,3870,43.98,,0,,1,42,,,,31 years 328 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
95,93,10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,0,3870,43.48,,0,,1,43,,,,32 years 5 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
96,94,13/12/2017,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,68,3938,43.76,,0,,1,44,,,,32 years 8 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
97,95,17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,100*,4038,44.87,,0,,1,45,,,,32 years 12 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
98,96,01/02/2018,South Africa,Kingsmead,35,4073,44.76,,0,,,45,,,,32 years 58 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
99,97,04/02/2018,South Africa,SuperSport Park,51*,4124,45.32,,0,,,45,,,,32 years 61 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
100,98,07/02/2018,South Africa,Newlands,76,4200,45.65,,0,,,45,,,,32 years 64 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
101,99,10/02/2018,South Africa,Wanderers Stadium,109,4309,46.33,,0,,,45,,,,32 years 67 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
102,100,13/02/2018,South Africa,St George's Park,34,4343,46.20,,0,,,45,,,,32 years 70 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
103,101,16/02/2018,South Africa,SuperSport Park,18,4361,45.91,,0,,1,46,,,,32 years 73 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
104,102,12/07/2018,England,Trent Bridge,40,4401,45.84,,0,,,46,,,,32 years 219 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
105,103,14/07/2018,England,Lord's,36,4437,45.74,,0,,1,47,,,,32 years 221 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
106,104,17/07/2018,England,Headingley,44,4481,45.72,,0,,,47,,,,32 years 224 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
107,105,18/09/2018,Hong Kong,Dubai International Cricket Stadium,127,4608,46.55,,0,,1,48,,,,32 years 287 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
108,106,19/09/2018,Pakistan,Dubai International Cricket Stadium,46,4654,46.54,,0,,1,49,,,,32 years 288 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
109,107,21/09/2018,Bangladesh,Dubai International Cricket Stadium,40,4694,46.48,,0,,4,53,,,,32 years 290 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
110,108,23/09/2018,Pakistan,Dubai International Cricket Stadium,114,4808,47.14,,0,,,53,,,,32 years 292 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
111,109,28/09/2018,Bangladesh,Dubai International Cricket Stadium,15,4823,46.83,,0,,,53,,,,32 years 297 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
112,110,21/10/2018,West Indies,Barsapara Cricket Stadium,4,4827,46.41,,0,,1,54,,,,32 years 320 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
113,111,24/10/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,29,4856,46.25,,0,,,54,,,,32 years 323 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
114,112,27/10/2018,West Indies,Maharashtra Cricket Association Stadium,35,4891,46.14,,0,,,54,,,,32 years 326 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
115,113,29/10/2018,West Indies,Brabourne Stadium,38,4929,46.07,,0,,,54,,,,32 years 328 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
116,114,01/11/2018,West Indies,Greenfield International Stadium,6,4935,45.69,,0,,1,55,,,,32 years 331 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
117,115,12/01/2019,Australia,Sydney Cricket Ground,0,4935,45.28,,0,,1,56,,,,33 years 38 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
118,116,15/01/2019,Australia,Adelaide Oval,32,4967,45.15,,0,,2,58,,,,33 years 41 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
119,117,18/01/2019,Australia,Melbourne Cricket Ground,23,4990,44.95,,0,,,58,,,,33 years 44 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
120,118,23/01/2019,New Zealand,McLean Park,75*,5065,45.63,,0,,,58,,,,33 years 49 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
121,119,26/01/2019,New Zealand,Bay Oval,66,5131,45.81,,0,,1,59,,,,33 years 52 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
122,120,28/01/2019,New Zealand,Bay Oval,28,5159,45.65,,0,,,59,,,,33 years 54 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
123,121,31/01/2019,New Zealand,Seddon Park,13,5172,45.37,,0,,,59,,,,33 years 57 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
124,122,03/02/2019,New Zealand,Westpac Stadium,6,5178,45.03,,0,,1,60,,,,33 years 60 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
125,123,02/03/2019,Australia,Rajiv Gandhi International Stadium,0,5178,44.64,,0,,,60,,,,33 years 87 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
126,124,05/03/2019,Australia,Vidarbha Cricket Association Stadium,21,5199,44.44,,0,,,60,,,,33 years 90 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
127,125,08/03/2019,Australia,JSCA International Stadium Complex,1,5200,44.07,,0,,,60,,,,33 years 93 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
128,126,10/03/2019,Australia,Punjab Cricket Association IS Bindra Stadium,143,5343,44.90,,0,,1,61,,,,33 years 95 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
129,127,13/03/2019,Australia,Arun Jaitley Stadium,12,5355,44.63,,0,,,61,,,,33 years 98 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
130,128,05/06/2019,South Africa,The Rose Bowl,8,5363,44.32,,0,,,61,,,,33 years 182 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
131,129,09/06/2019,Australia,Kennington Oval,117,5480,44.92,,0,,,61,,,,33 years 186 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
132,,08/08/2019,West Indies,Providence Stadium,-,5480,44.92,,0,,,61,,,,33 years 246 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
133,130,11/08/2019,West Indies,Queen's Park Oval,2,5482,44.57,,0,,,61,,,,33 years 249 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
134,131,14/08/2019,West Indies,Queen's Park Oval,36,5518,44.50,,0,,1,62,,,,33 years 252 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
135,132,14/01/2020,Australia,Wankhede Stadium,74,5592,44.74,,0,,,62,,,,34 years 40 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
136,133,17/01/2020,Australia,Saurashtra Cricket Association Stadium,96,5688,45.14,,0,,,62,,,,34 years 43 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
137,,19/01/2020,Australia,M Chinnaswamy Stadium,-,5688,45.14,,0,,,62,,,,34 years 45 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
138,134,27/11/2020,Australia,Sydney Cricket Ground,74,5762,45.37,,0,,1,63,,,,34 years 358 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
139,135,29/11/2020,Australia,Sydney Cricket Ground,30,5792,45.25,,0,,,63,,,,34 years 360 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
140,136,02/12/2020,Australia,Manuka Oval,16,5808,45.02,,0,,2,65,,,,34 years 363 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
141,137,23/03/2021,England,Maharashtra Cricket Association Stadium,98,5906,45.43,,0,,,65,,,,35 years 108 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
142,138,26/03/2021,England,Maharashtra Cricket Association Stadium,4,5910,45.11,,0,,,65,,,,35 years 111 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
143,139,28/03/2021,England,Maharashtra Cricket Association Stadium,67,5977,45.28,,0,,1,66,,,,35 years 113 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
144,140,18/07/2021,Sri Lanka,R Premadasa Stadium,86*,6063,45.93,,0,,2,68,,,,35 years 225 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
145,141,20/07/2021,Sri Lanka,R Premadasa Stadium,29,6092,45.80,,0,,1,69,,,,35 years 227 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
146,142,23/07/2021,Sri Lanka,R Premadasa Stadium,13,6105,45.56,,0,,,69,,,,35 years 230 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
147,143,19/01/2022,South Africa,Boland Park,79,6184,45.81,,0,,,69,,,,36 years 45 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
148,144,21/01/2022,South Africa,Boland Park,29,6213,45.68,,0,,,69,,,,36 years 47 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
149,145,23/01/2022,South Africa,Newlands,61,6274,45.80,,0,,1,70,,,,36 years 49 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
150,146,11/02/2022,West Indies,Narendra Modi Stadium,10,6284,45.54,,0,,1,71,,,,36 years 68 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
151,147,12/07/2022,England,Kennington Oval,31*,6315,45.76,,0,,,71,,,,36 years 219 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
152,148,14/07/2022,England,Lord's,9,6324,45.50,,0,,,71,,,,36 years 221 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
153,149,17/07/2022,England,Old Trafford,1,6325,45.18,,0,,,71,,,,36 years 224 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
154,150,22/07/2022,West Indies,Queen's Park Oval,97,6422,45.55,,0,,,71,,,,36 years 229 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
155,151,24/07/2022,West Indies,Queen's Park Oval,13,6435,45.32,,0,,2,73,,,,36 years 231 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
156,152,27/07/2022,West Indies,Queen's Park Oval,58,6493,45.41,,0,,3,76,,,,36 years 234 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
157,153,18/08/2022,Zimbabwe,Harare Sports Club,81*,6574,45.97,,0,,2,78,,,,36 years 256 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
158,154,20/08/2022,Zimbabwe,Harare Sports Club,33,6607,45.88,,0,,1,79,,,,36 years 258 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
159,155,22/08/2022,Zimbabwe,Harare Sports Club,40,6647,45.84,,0,,1,80,,,,36 years 260 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
160,156,06/10/2022,South Africa,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,4,6651,45.55,,0,,,80,,,,36 years 305 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
161,157,09/10/2022,South Africa,JSCA International Stadium Complex,13,6664,45.33,,0,,1,81,,,,36 years 308 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
162,158,11/10/2022,South Africa,Arun Jaitley Stadium,8,6672,45.08,,0,,,81,,,,36 years 310 days,"Shikhar Dhawan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
0,Innings,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age,"Shivam Dube
            - One Day Internationals - Progressive Averages and Aggregates Summary"
1,Innings,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age,"Shivam Dube
            - One Day Internationals - Progressive Averages and Aggregates Summary"
2,1,15/12/2019,West Indies,MA Chidambaram Stadium,9,9,9.00,0/68,0,,,0,,,,26 years 172 days,"Shivam Dube
            - One Day Internationals - Progressive Averages and Aggregates Summary"
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
